Reklamos skleidėjo rekvizitai:,,,Leidimo Nr.,Leidimas galioja,,Reklaminio įrenginio,,Reklamos tipas ir tekstas,Reklaminio įrenginio projekto reg. Nr.,Reklamos plotas kv. m,Rekl. įrenginio plokštumų skaičius
juridinio asmens (j. a.) pavadinimas (fizinio asmens vardas ir pavardė),j. a. kodas,j. a. buveinė,,nuo,iki,"įrengimo adresas, vieta ",miesto dalis Kaune,,,,
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-1114,12/21/2017,12/20/2018,"Prie Europos pr. ir Veiverių g. sankryžos (antra prie degalinės, arčiau Veiverių g.))",Birutė,Komercinė nuoroda: „Gintarinė vaistinė Veiverių g. 150“,70-13-1708,2.74,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-1115,12/21/2017,12/20/2018,Prie Pramonės pr. ir Partizanų g. sankryžos,Dainava,Komercinė nuoroda: „Gintarinė vaistinė Partizanų g. 134“,70-13-1713,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-2,1/11/2018,1/10/2019,"Raudondvario pl., tie pastatu Nr. 168",Veršvai,Komercinė nuoroda: „TEKNOS Raudondvario pl. 170C“,70-13-1045,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-3,1/19/2018,1/18/2019,Prie Šiaurės pr. ir Sukilėlių pr. sankryžos,Eiguliai,Komercinė nuoroda: „SILORITAS“,70-13-488,2.74,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-4,1/23/2018,1/22/2019,Prie Savanorių pr. ir Širvintų g. sankryžos,Žaliakalnis,Komercinė nuoroda: „Odontologijos klinika“,70-13-1199,0.9,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-5,1/23/2018,1/22/2019,Prie Savanorių pr. ir Širvintų g. sankryžos,Žaliakalnis,Komercinė nuoroda: „MedProject“,70-13-37,0.9,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-7,1/16/2018,1/15/2019,R. Kalantos g. ir T. Masiulio g. (sankryžos žiedas) (stendas Nr. 3),Petrašiūnai,Komercinis stendas (komercinė reklama): „ELREMTA “,70-13-444,12,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-8,1/16/2018,1/15/2019,Prie A. Kriščiukaičio g. ir Neries kr. sankryžos,Vilijampolė,"Komercinė nuoroda: „UAB Soterus DARBŲ SAUGA, KURSAI“",70-13-211,1.12,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-10,1/22/2018,1/21/2019,"Taikos pr., žalioje vejoje tarp važiuojamųjų dalių, šalia Taikos  pr. 92C („Centrinis Kauno turgus“)",Naujasodis,Komercinė nuoroda: „CHRUSTIK KONDITERIJA RYTINĖ GALERIJA 12 salė“,70-13-352,1.56,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-11,1/22/2018,1/21/2019,"Prie Pramonės pr., prie įvažiavimo į AB „URMAS“",Naujasodis,Komercinė nuoroda: „CHRUSTIK KONDITERIJA RYTINĖ GALERIJA 12 salė“,70-13-34,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-12,1/22/2018,1/21/2019,"Prie Taikos pr. 88, šalia įvažiavimo į AB „Urmas“ teritoriją",Naujasodis,Komercinė nuoroda: „CHRUSTIK KONDITERIJA RYTINĖ GALERIJA 12 salė“,70-13-33,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-23,2/2/2018,2/1/2019,Prie Europo pr. ir Kalvarijos g. sankryžos,Kazliškiai,Komercinė nuoroda: „Genys Šaldymo technika Kalvarijos g. 38“,70-13-1243,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-24,2/10/2018,2/9/2019,Prie Žemaičių pl. ir Baltijos g. sankryžos,Smėliai,Komercinė nuoroda: „Veterinarijos klinika Rumina Baltijos g. 26A 8 620 20 882“,70-13-1222,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-62,2/7/2018,2/6/2019,Prie Brastos g. ir Jurbarko g. sankryžos,Veršvai,Komercinė nuoroda: „Prima lineTransportas ir logistika“,70-13-122,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-63,2/5/2018,2/4/2019,Prie Taikos pr. ir Pašilės g. sankryžos,Gričiupis,Komercinė nuoroda: „Ekspreso valgykla A. Purėno g. 20“,70-13-120,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-64,2/5/2018,2/4/2019,Prie Taikos pr. ir Garažų g. sankryžos (prie AB „URMAS“),Naujasodis,Komercinė nuoroda: „Cat Cargo Logistics Lietuva Taikos pr. 98“,70-13-119,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-65,2/5/2018,2/4/2019,"Taikos pr., žalioje vejoje tarp važiuojamųjų dalių, šalia Taikos  pr. 92C („Centrinis Kauno turgus“)",Naujasodis,Komercinė nuoroda: „Cat Cargo Logistics Lietuva Taikos pr. 98“,70-13-118,1.32,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-66,3/21/2018,3/20/2019,"Taikos pr., prie Ateities pl. sankryžos (plokštuma matoma važiuojant nuo centro)",Naujasodis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-101,18,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-67,2/20/2018,2/19/2019,Draugystės g. prie p/c Senukai (plokštuma matoma važiuojant nuo centro),Naujasodis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-102,18,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-68,2/20/2018,2/19/2019,Jurbarko g. ir Raudondvario pl. sankryžos žiedas ,Vilijampolė,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-103,36,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-69,2/20/2018,2/19/2019,"Baltų pr. (žaliojoje vejoje, netoli pastato 49F, p/c „Baltai“ )",Petrašiūnai,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-104,36,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-70,2/20/2018,2/19/2019,Žemaičių pl. ties pastatu Nr. 40,Milikoniai,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-105,36,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-71,2/27/2018,2/26/2019,Žemaičių pl. ir J. Grušo g. sankryža (prie Baltijos g. 2A),Milikoniai,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-106,18,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-72,2/20/2018,2/19/2019,Neries kr. 26 ir Demokratų g. sankryža (plokštuma matoma važiuojant nuo centro),Panerys,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-107,18,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-74,2/20/2018,2/19/2019,"M. K. Čiurlionio g., netoli Kaunakiemio g. įvažos",Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-171,36,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-75,3/21/2018,3/20/2019,Netoli M. K. Čiurlionio g. ir Girstupio g. sankryžos,Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-172,36,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-76,2/20/2018,2/19/2019,Europos pr. ties pastatu Europos pr. 67,Freda,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-150,36,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-77,2/20/2018,2/19/2019,"Veiverių g. (įkalnėje, ties past. Aukštoji g. 20)",Aleksotas,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-110,18,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-86,2/23/2018,2/22/2019,"Taikos pr., netoli pastato Taikos pr. 149",Naujasodis,Komercinė nuoroda: „GLASMA SERVICE Taikos pr. 149“,70-13-176,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-87,2/23/2018,2/22/2019,Prie Ateities pl. ir Biruliškių g. sankryžos,Amaliai,Komercinė nuoroda: „HYDROSCAND Technikos g. 7“,70-13-177,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-104,3/8/2018,3/7/2019,Prie Savanorių pr. ir Zanavykų g. sankryžos,Žaliakalnis,Komercinė nuoroda: „Žalia stotelė Zanavykų g. 26“,70-13-1336,0.9,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-105,3/21/2018,3/20/2019,Prie Ateities pl. ir Palemono g. sankryžos (antra nuoroda),Naujasodis,Komercinė nuoroda: „MOTELIS Laurita Palemono g. 2a“,70-13-163,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-106,3/8/2018,3/7/2019,Prie Savanorių pr. ir Zanavykų g. sankryžos,Žaliakalnis,Komercinė nuoroda: „VERTIMAI mp-vertimai.lt P.Kalpoko g. 1“,70-13-143,0.9,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-107,3/9/2018,3/8/2019,"Prie Birželio 23-osios g., prie pastato 23G",Dainava,Komercinė nuoroda: „Radijo stotis Kelyje“,70-13-38,0.9,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-108,3/13/2018,3/12/2019,Prie Prancūzų g. ir Rambyno g. sankryžos,Aukštieji Šančiai,Komercinė nuoroda: „Gintarinė vaistinė Medvėgalio g. 23“,70-13-179,0.9,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-109,3/17/2018,3/16/2019,Prie Kovo 11-osios g. ir Partizanų g. sankryžos,Dainava,Komercinė nuoroda: „Spalvų sala STATYBINĖS MEDŽIAGOS“,70-13-212,2.74,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-111,3/17/2018,3/16/2019,Prie Europo pr. ir Kalvarijos g. sankryžos,Kazliškiai,Komercinė nuoroda: „Aukščiausia pavara PAVARŲ DĖŽIŲ VAŽIUOKLĖS TAISYMAS 8 610 200 24 Kalvarijos g. 11“,70-13-213,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-112,3/24/2018,3/23/2019,Prie Pramonės pr. ir Elektrėnų g. sankryžos,Naujasodis,"Komercinė nuoroda: „Martyno technika SODO TECHNIKA, KOMPRESORIAI“",70-13-238,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-113,3/24/2018,3/23/2019,Prie Pramonės pr. ir Elektrėnų g. sankryžos,Naujasodis,Komercinė nuoroda: „GASCHEMA Techninės dujos Elektrėnų g. 9D“,70-13-240,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-114,3/27/2018,3/26/2019,Prie Elektrėnų g. ir Technikos g. sankryžos,Naujasodis,Komercinė nuoroda: „MARCOPOL Tvirtinimo detalės Draugystės g. 13A“,70-13-249,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-115,3/27/2018,3/26/2019,Prie Ateities pl. ir Biruliškių g. sankryžos,Amaliai,Komercinė nuoroda: „MARCOPOL Tvirtinimo detalės Draugystės g. 13A“,70-13-251,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-116,3/27/2018,3/26/2019,Prie Pramonės pr. ir V. Krėvės pr. sankryžos,Dainava,Komercinė nuoroda: „Gintarinė vaistinė V. Krėvės pr. 97B“,70-13-1733,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-117,3/27/2018,3/26/2019,Prie Pramonės pr. ir Draugystės g. sankryžos,Naujasodis,Komercinė nuoroda: „Ulmas VISKAS BALDŲ GAMYBAI Draugystės g. 12A“,70-13-253,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-118,3/27/2018,3/26/2019,Prie Taikos pr. ir J. Basanavičiaus al. sankryžos,Žaliakalnis,Komercinė nuoroda: „Gintarinė vaistinė Savanorių pr. 206“,70-13-254,2.74,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-122,3/6/2018,3/5/2019,Prie V. Krėvės pr. ir Garažų g. sankryžos,Naujasodis,Komercinė nuoroda: „Kaufen Craft V. Krėvės pr. 118“,70-13-873,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-133,3/13/2018,3/12/2019,Prie Raudondvario pl. netoli pastato Nr. 186A,Dainava,Komercinė nuoroda: „Jotul Židiniai krosnelės Raudondvario pl. 127“,70-13-1505,2.84,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-156,4/3/2018,4/2/2019,Prie A. Baranausko g. ir Studentų g. sankryžos,Gričiupis,Komercinė nuoroda: „TOPCOLOR DAŽŲ PROFESIONALAI DAŽAI TINKAS ĮRANKIAI TAIKOS PR. 34“,70-13-281,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-157,4/3/2018,4/2/2019,Prie Veiverių g. ir Lazdijų g. sankryžos,Kazliškiai,Komercinė nuoroda: „Gintarinė vaistinė Veiverių g. 150“,70-13-269,2.74,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-158,4/3/2018,4/2/2019,Prie Pramonės pr. ir Draugystės g. sankryžos,Naujasodis,Komercinė nuoroda: „MARCOPOL Tvirtinimo detalės Draugystės g. 13A“,70-13-267,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-197,4/3/2018,4/2/2019,Prie Ateities pl. ir Biruliškių g. sankryžos,Amaliai,"Komercinė nuoroda: „BLS NAUJI , NAUDOTI STELAŽAI DOMARILE Elektrėnų g. 8L“",70-13-280,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-198,4/3/2018,4/2/2019,Prie Elektrėnų g. ir Technikos g. sankryžos,Naujasodis,"Komercinė nuoroda: „BLS NAUJI , NAUDOTI STELAŽAI DOMARILE Elektrėnų g. 8L“",70-13-281,2.74,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-199,4/3/2018,4/2/2019,Prie Pramonės pr. ir Elektrėnų g. sankryžos,Naujasodis,"Komercinė nuoroda: „BLS NAUJI , NAUDOTI STELAŽAI DOMARILE Elektrėnų g. 8L“",70-13-282,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-200,4/3/2018,4/2/2019,Prie Jonavos g. (netoli „Neste“ degalinės),Kalniečiai,Komercinė nuoroda: „TOPO CENTRAS GRUPĖS NATYS EURONICS Jonavos g. 60“,70-13-287,2.84,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-201,6/2/2018,6/1/2019,Taikos pr. prie pastato Nr. 41 (žaliojoje vejoje tarp važiuojamųjų dalių),Naujasodis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-332,36,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-202,4/3/2018,4/2/2019,"Prie Taikos pr. ir Garažų g. sankryžos (II nuoroda, arčiau Taikos pr.)",Naujasodis,Komercinė nuoroda: „SLO Elektros prekės Taikos pr. 135D TEL. 353953“,70-13-333,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-203,4/3/2018,4/2/2019,Prie Ateities pl. ir Apasčios g. sankryžos,Amaliai,Komercinė nuoroda: „HT TRUCK&PARTS“,70-13-334,2.24,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-204,5/1/2018,4/30/2019,"V. Krėvės pr. ir Kovo 11-osios g. sankryža (netoli PC „Rėda“, Nr. 49A ) (plokštuma matoma važiuojant į centrą)",Dainava,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-335,18,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-205,5/1/2018,4/30/2019,Baltų pr. ir Rasytės g. sankryža (plokštuma matoma įkalnės dešinėje),Milikoniai,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-336,18,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-206,5/1/2018,4/30/2019,Krėvės pr. ir Pramonės pr. sankryža (netoli Krėvės pr. 81) (plokštuma matoma važiuojant link Savanorių pr.),Dainava,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-337,18,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-207,5/1/2018,4/30/2019,Prie Taikos pr. 81 netoli Kovo 11-osios g. žiedo,Gričiupis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-338,36,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-208,5/1/2018,4/30/2019,"Taikos pr., ties pastatu nr. 127 (prie „Melga“, žalioje vejoje)  (plokštuma matoma važiuojant nuo centro)",Naujasodis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-340,18,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-209,5/1/2018,4/30/2019,Taikos pr. ties pastatu Nr. 141 (žaliojoje vejoje tarp važiuojamųjų dalių),Naujasodis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-340,36,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-213,5/1/2018,4/30/2019,V. Krėvės pr. ir Kovo 11-osios g. sankryža (plokštuma matoma važiuojant link centro),Dainava,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-343,18,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-214,5/1/2018,4/30/2019,Karaliaus Mindaugo pr. ir Kaunakiemio g. sankryža  (netoli p.c. „Akropolis“),Naujamiestis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-342,36,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-215,5/1/2018,4/30/2019,Baršausko g. (prie degalinės „Statoil“) ,Gričiupis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-341,36,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-216,4/9/2018,4/8/2019,"Karaliaus Mindaugo pr., prie sankryžos su Kaunakiemio g.",Naujamiestis,Komercinis stendas (komercinė reklama): „AGENTUS STATYBA agentus.lt A. Juozapavičiaus pr. 102A“,70-13-1425,2.84,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-281,4/13/2018,4/12/2019,Baltų pr. ir Žemaičių pl. sankryža,Smėliai,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-108,36,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-283,4/20/2018,4/19/2019,Prie Ekskavatorininkų g. ir Energetikų g. sankryžos  (kairė),Petrašiūnai,Komercinė nuoroda: „OSAMA Energetikų g. 29“,70-13-377,1.12,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-284,4/27/2018,4/26/2019,Prie Savanorių pr. ir Kovo 11-osios g. sankryžos,Dainava,Komercinė nuoroda: „PASKOLOS VERTIMAI Aujama P.Lukšio g. 34“,70-13-425,2.74,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-295,5/9/2018,5/8/2019,Veiverių g. prie pastato Nr. 150B („Maxima Bazė“) (plokštuma matoma važiuojant link centro),Dainava,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-1300,18,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-296,5/9/2018,5/8/2019,Europos pr. ties pastatu Europos pr. 91 (žaliojoje vejoje tarp važiuojamųjų dalių) (plokštuma matoma važiuojant nuo centro),Freda,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-151,18,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-297,5/3/2018,5/2/2019,R. Kalantos g. ir T. Masiulio g. (sankryžos žiedas) (stendas Nr. 2),Petrašiūnai,Komercinis stendas (komercinė reklama): „IKI“,70-13-443,12,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-298,5/3/2018,5/2/2019,R. Kalantos g. ir T. Masiulio g. (sankryžos žiedas) (stendas Nr. 5),Petrašiūnai,Komercinis stendas (komercinė reklama): „POLIMETA“,70-13-446,12,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-299,5/3/2018,5/2/2019,R. Kalantos g. ir T. Masiulio g. (sankryžos žiedas) (stendas Nr. 6),Petrašiūnai,Komercinis stendas (komercinė reklama): „POLIMETA“,70-13-447,12,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-300,5/1/2018,4/30/2019,Prie Kuršių g. ir Jotvingių g. sankryžos,Milikoniai,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-152,18,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-301,4/26/2018,4/25/2019,Prie Jonavos g. ir Šiaurės pr. sankryžos,Eiguliai,Komercinė nuoroda: „DRŪTSRAIGTIS Tvirtinimo detalės Jonavos g. 254“,70-13-441,2.84,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-302,4/26/2018,4/25/2019,Prie Jonavos g. (netoli „Neste“ degalinės),Kalniečiai,Komercinė nuoroda: „DRŪTSRAIGTIS Tvirtinimo detalės Jonavos g. 254“,70-13-442,"2,84",1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-303,4/26/2018,4/25/2019,Jonavos g. prie sankryžos su Salako g.,Žaliakalnis,Komercinė nuoroda: „DRŪTSRAIGTIS Tvirtinimo detalės Jonavos g. 254“,70-13-444,"2,84",1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-304,5/1/2018,4/30/2019,Prie Jotvingių g. ir Kuršių g. sankryžos (antra nuoroda arčiau Jotvingių g.),Milikoniai,Komercinė nuoroda: „AUTOFORTAS Automobilių servisas Kuršių g. 9B“,70-13-445,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-305,5/1/2018,4/30/2019,Birštono g. ir Vilniaus g. sankryža (ant požeminės perėjos),Naujasodis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-416,4.44,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-306,5/1/2018,4/30/2019,Birštono g. ir Vilniaus g. sankryža (ant požeminės perėjos),Naujasodis,Komercinis stendas (komercinė reklama): „Trumpalaikė reklama“,70-13-417,4.44,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-340,4/30/2018,4/29/2019,Prie K. Baršausko g. ir Breslaujos g. sankryžos,Aukštieji Šančiai,Komercinė nuoroda: „Saulės šeimos medicinos centras K. Baršausko g. 66“,70-13-478,2.74,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-341,4/30/2018,4/29/2019,Prie Breslaujos g. ir Prancūzų g. sankryžos (kairė),Aukštieji Šančiai,Komercinė nuoroda: „Kavinė „Žaliasis vingis“ Prancūzų g. 185“,70-13-479,1.12,1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-342,4/30/2018,4/29/2019,Prie S. Žukausko g. ir P. Lukšio g sankryžos,Eiguliai,Komercinė nuoroda: „PASKOLOS VERTIMAI Aujama P.Lukšio g. 34“,70-13-453,2.74,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-343,5/1/2018,4/30/2019,Prie Raudondvario pl. ir Kėdainių g. sankryžos,Veršvai,Komercinė nuoroda: „Autobrasta Automobilių servisas Raudondvario pl. 101“,70-13-471,2.74,2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-344,5/1/2018,4/30/2019,"Prie Neries kr. ir Varnių g. sankryžos  ((netoli tilto, dešinė))",Panerys,Komercinė nuoroda: „ELREMTA Įrankiai profesonalams“,70-13-453,"2,84",1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-345,5/1/2018,4/30/2019,"Prie Neries kr. ir Varnių g. sankryžos  (netoli tilto, dešinė)",Panerys,"Komercinė nuoroda: „SOTERUS DARBŲ SAUGA, KURSAI Neries kr. 16-303 250 m.“",70-13-454,"2,84",1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-346,5/1/2018,4/30/2019,"Prie Neries kr. ir Varnių g. sankryžos (netoli tilto, kairė)",Panerys,Komercinė nuoroda: „Renginių OAZĖ Baltų pr. 16“,70-13-372,"2,84",1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-347,5/1/2018,4/30/2019,Prie Ateities pl. ir Biruliškių g. sankryžos,Amaliai,Komercinė nuoroda: „SERFAS“,70-13-487,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-348,5/1/2018,4/30/2019,Prie Ateities pl. ir Biruliškių g. sankryžos,Amaliai,Komercinė nuoroda: „Gaschema Techninės dujos“,70-13-488,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-349,5/1/2018,4/30/2019,Prie Draugystės g. ir Technikos g. sankryžos,Naujasodis,Komercinė nuoroda: „SERFAS“,70-13-459,"1,12",1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-350,5/1/2018,4/30/2019,Prie Draugystės g. ir Technikos g. sankryžos,Naujasodis,Komercinė nuoroda: „IGNERA“,70-13-460,"1,12",1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-351,5/1/2018,4/30/2019,Prie Draugystės g. ir Technikos g. sankryžos,Naujasodis,Komercinė nuoroda: „CRAFT BEARINGS“,70-13-461,"1,12",1
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-352,5/1/2018,4/30/2019,Prie Elektrėnų g. ir Technikos g. sankryžos,Naujasodis,Komercinė nuoroda: „HYDROSCAND“,70-13-481,"2,24",2
UAB „Gijota“,135684819,"Kovo 11-osios g. 120-46, Kaunas",29-28-353,5/1/2018,4/30/2019,Prie Elektrėnų g. ir Technikos g. sankryžos,Naujasodis,Komercinė nuoroda: „SERFAS“,70-13-482,"2,24",2
