Eil. Nr.,Lic. Nr.,Licencija galioja,,Licencijos turėtojo rekvizitai:,,,,Prekybos vietos,,Licencijos rūšis: verstis mažmenine prekyba,Prekybos alkoholiniais gėrimais laikas,Licencijos galiojimas sustabdytas,,Licencijos,,,Prekybos alkoholiniais gėrimais būdas
43,598,1997-11-04,n,Anelės Mažeikienės įmonė,3326775,,,Panemunė,"baras, Vaidoto g. 123",alkoholiniais gėrimais,8–1 val.,,,,,,gerti ten pat ir išsinešti
44,259/2,1997-08-01,n,E. Kliknos įmonė,3338301,,,Kalniečiai,"specializuotas parduotuvės skyrius, Tvirtovės al. 37",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
45,1147,2001-02-07,n,Aldonos Lekavičienės įmonė,3343508,,,Naujasodis,"kavinė, Taikos pr. 135","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
46,1307,2001-09-01,n,UAB „Fleita“,3344045,,,Dainava,"kavinė-baras, Butrimonių g. 7",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
47,1128,2001-01-24,n,J. Gališanskienės įmonė „Teksta“,3344523,,,Birutė,"parduotuvė, Veiverių g. 105 / Slankų g. 2","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",9–20 val.,,,,,,išsinešti
48,1407,2002-06-04,n,UAB „Meleta“,3346268,,,Eiguliai,"kioskas prie pastato Sukilėlių pr. 86A, Kaunas ","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–24 val.,,,,,,išsinešti
49,131,1997-08-01,n,V. Remeikos firma „Remarta“,3348093,,,Dainava,"parduotuvė, Partizanų g. 3A","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–22 val.,,,,,,išsinešti
50,131/1,2003-03-18,n,V. Remeikos firma „Remarta“,3348093,,,Eiguliai,"specializuotas parduotuvės skyrius, S. Žukausko g. 39-1",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
51,1181,2001-03-14,n,Viliaus Valčiuko įmonė,3350123,,,Naujasodis,"baras, pastatas 12E1g, Pramonės pr. 16",alkoholiniais gėrimais,8–20 val.,,,,,,gerti ten pat ir išsinešti
52,1181/1,2001-12-19,n,Viliaus Valčiuko įmonė,3350123,,,Gričiupis,"kavinė-baras, K. Baršausko g. 65",alkoholiniais gėrimais,9–24 val.,,,,,,gerti ten pat ir išsinešti
53,294/6,2001-01-04,n,UAB „Dola“,3352202,,,Freda,"specializuotas parduotuvės skyrius, Vinčų g. 20",alkoholiniais gėrimais,9–21 val.,,,,,,išsinešti
54,294/7,2001-01-04,n,UAB „Dola“,3352202,,,Gričiupis,"specializuotas parduotuvės skyrius, Saulės g. 41",alkoholiniais gėrimais,8–21 val.,,,,,,išsinešti
55,420/1,2001-01-17,n,UAB „Amuletas“,3353888,,,Smėliai,kioskas prie Baltijos g. 53A / Žiemgalių g.,"alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
56,464/1,2001-01-24,n,N. Dumbliauskienės prekybos firma,3355967,,,Dainava,kioskas prie namo Taikos pr. 37,"alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
57,1016/1,2001-02-07,n,R. Jurkšaitienės įmonė,3357625,,,Milikoniai,"specializuotas parduotuvės skyrius, Rasytės g. 18-78",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
58,1248,2001-05-30,n,Irenos Vilčinskienės firma,3367364,,,Veršvai,"parduotuvė, Josvainių g. 1 / Naujakurių g. 58","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",9–20 val.,,,,,,išsinešti
59,1496/1,2004-02-25,n,UAB „Aranita“,3368853,,,Naujamiestis,"baras, A. Mickevičiaus g. 23 ",alkoholiniais gėrimais,11–1 val.,,,,,,gerti ten pat ir išsinešti
60,473/2,1997-09-03,n,UAB „Švaistūnas“,3372446,,,Eiguliai,"alaus baras, P. Lukšio g. 58",alkoholiniais gėrimais,8–22 val.,,,,,,gerti ten pat ir išsinešti
61,410/1,1998-03-01,n,UAB „Femina Bona“,3384575,,,Naujamiestis,"restoranas „Pompėja“ I a., V. Putvinskio g. 38-29",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
62,329,1997-08-01,n,UAB „Senas pažįstamas“,3390835,,,Senamiestis,"kavinė-baras, Jonavos g. 10-1",alkoholiniais gėrimais,10–23 val.,,,,,,gerti ten pat ir išsinešti
63,1417,2002-07-05,n,V. Garšvienės individuali įmonė ,3393978,,,Žaliakalnis,kioskas prie pastato Savanorių pr. 182,"alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–22 val.,,,,,,išsinešti
64,436,1997-09-01,n,Gintauto Skalandžio firma,3394204,,,Sargėnai,"kavinė-baras, Vandžiogalos g. 94",alkoholiniais gėrimais,7–21 val.,,,,,,gerti ten pat ir išsinešti
65,307/1,2001-05-16,n,G. Ausiukaičio firma „Pilentum“,3396723,,,Veršvai,"specializuotas parduotuvės skyrius, Raudondvario pl. 212B",alkoholiniais gėrimais,8–21 val.,,,,,,išsinešti
66,1196,2001-03-21,n,UAB „Pienių takas“,3396958,,,Gričiupis,kioskas prie namo Taikos pr. 66,"alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–24 val.,,,,,,išsinešti
67,331/2,2001-01-10,n,UAB „Bringas“,3399077,,,Smėliai,"kavinė, Prūsų g. 4",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
68,120,1997-08-01,n,J. Jokubaičio firma „Karinta“,3399851,,,Naujamiestis,"baras, Savanorių pr. 10",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
69,18,1997-08-01,n,UAB „Pilnatvė“ ,3399961,,,Gričiupis,"baras, K. Baršausko g. 68",alkoholiniais gėrimais,7–24 val.,,,,,,gerti ten pat ir išsinešti
70,1214/3,2003-02-13,n,UAB „Jagna“,3402481,,,Naujamiestis,"kavinė-baras, Nepriklausomybės a. 5C",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
71,700/2,2001-05-02,n,J. Čereškaitės firma „Orbona“ ,3404321,,,Naujasodis,"kioskas prie 9 sandėlio, Pramonės pr. 16","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",7–19 val.,,,,,,išsinešti
72,700/3,2003-12-18,n,J. Čereškaitės firma „Orbona“ ,3404321,,,Naujasodis,"specializuotas parduotuvės skyrius, Pramonės pr. 16 (6F3b)",alkoholiniais gėrimais,7–20 val.,,,,,,išsinešti
73,133,1997-08-01,n,UAB „Čeburekas“,3408016,,,Dainava,"kavinė-baras, Savanorių pr. 290B",alkoholiniais gėrimais,9–22 val.,,,,,,gerti ten pat ir išsinešti
74,835,1998-09-16,n,UAB „Pašnekesys“,3408748,,,Žaliakalnis,"kavinė, Aušros g. 42","alk. gėrimais, kurių tūrinė etilo alkoholio koncentracija neviršija 22 proc.",10–17 val.,,,,,,gerti ten pat ir išsinešti
75,378/2,1997-08-01,n,N. Mickūnienės įmonė,3419058,,,Žaliakalnis,kioskas prieš pastatą Savanorių pr. 210,"alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
76,8,1997-08-01,n,UAB „Ontarijas“,3427378,,,Dainava,"parduotuvė, Birželio 23-iosios g. 23A","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–19 val.,,,,,,išsinešti
77,173/1,2002-03-01,n,Angelikos Viliūnienės įmonė,3429457,,,Gričiupis,"specializuotas parduotuvės skyrius, Pašilės g. 10",alkoholiniais gėrimais,8–24 val.,,,,,,išsinešti
78,399,1997-09-01,n,A. Rusteikos firma „Bostonas“,3430309,,,Smėliai,"parduotuvė, Baltijos g. 94-31","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–22 val.,,,,,,išsinešti
79,693,1998-03-01,n,UAB „Vladira“,3432517,,,Žaliakalnis,"kavinė ir mini barai viešbučio kambariuose, Alantos g. 33",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
80,1542,2003-08-01,n,UAB „Imedija“,3432555,,,Dainava,"baras, V. Krėvės pr. 57","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",9–24 val.,,,,,,gerti ten pat ir išsinešti
81,849,1998-10-14,n,Č. Lukaševičiaus firma,3439215,,,Žaliakalnis,"baras, Perkūno al. 5","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–24 val.,,,,,,gerti ten pat ir išsinešti
82,170/1,2001-05-01,n,UAB „Brelis“,3441336,,,Smėliai,"specializuotas parduotuvės skyrius, Baltų pr. 119-29",alkoholiniais gėrimais,7–22 val.,,,,,,išsinešti
83,1142,2001-02-07,n,J. R. Mosiejausko firma,3443142,,,Smėliai,"parduotuvė, Baltų pr. 173-29","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",9–22 val.,,,,,,išsinešti
84,1110,2001-01-10,n,G. N. Paulauskienės įmonė,3451314,,,Gričiupis,"paviljonas, Dujotiekio g. 30","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",6–24 val.,,,,,,išsinešti
85,667,1998-01-15,n,UAB „Vardaina“,3456995,,,Vilijampolė,"baras, Linkuvos g. 58",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
86,1421,2002-07-10,n,Aivaro Stainio įmonė,3457198,,,Milikoniai,kioskas prie pastato Rasytės g. 1,"alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–22 val.,,,,,,išsinešti
87,697/1,1998-03-04,n,UAB „Fazer Gardėsis“,3458266,,,Veršvai,"parduotuvės savitarnos skyrius, Raudondvario pl. 129A","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–22 val.,,,,,,išsinešti
88,697/2,1998-03-04,n,UAB „Fazer Gardėsis“,3458266,,,Veršvai,"baras, Raudondvario pl. 129A","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–22 val.,,,,,,gerti ten pat ir išsinešti
89,697/3,1999-06-09,n,UAB „Fazer Gardėsis“,3458266,,,Veršvai,"specializuotas parduotuvės skyrius, Raudondvario pl. 129A",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
90,501/1,1998-10-01,n,UAB „Samris“,3466131,,,Eiguliai,"baras, P. Lukšio g. 7A",alkoholiniais gėrimais,10–24 val.,,,,,,gerti ten pat ir išsinešti
91,501/3,2000-10-01,n,UAB „Samris“,3466131,,,Senamiestis,"kavinė-baras, J. Gruodžio g. 15-8",alkoholiniais gėrimais,7–23 val.,,,,,,gerti ten pat ir išsinešti
92,1179,2001-03-14,n,A. Rimavičienės įmonė,3468646,,,Panemunė,"specializuotas parduotuvės skyrius, Vaidoto g. 239",alkoholiniais gėrimais,8–24 val.,,,,,,išsinešti
93,220/3,2004-01-15,n,UAB „Noriga“,3472865,,,Žemieji Šančiai,"kavinė, Virvių g. 1",alkoholiniais gėrimais,10–24 val.,,,,,,gerti ten pat ir išsinešti
94,427/2,2003-02-18,n,UAB „Pirmoji kregždutė“,3473474,,,Naujamiestis,"kavinė, Vytauto pr. 43",alkoholiniais gėrimais,9–18 val.,,,,,,gerti ten pat ir išsinešti
95,419/1,2002-10-08,n,UAB „Biprima“,3474284,,,Naujasodis,"užkandinė, Taikos pr. 135B","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",4–22 val.,,,,,,gerti ten pat ir išsinešti
96,1541,2003-07-30,n,UAB „Primoris“,3475022,,,Naujasodis,"valgykla, Chemijos g. 29","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",9–18 val.,,,,,,gerti ten pat ir išsinešti
97,622/1,2001-01-17,n,D. Jančiukienės firma „Sandaja“,3476253,,,Naujasodis,"specializuota parduotuvė, Pramonės pr. 16, pastato 7F1b prekybinėse patalpose ",alkoholiniais gėrimais,7–22 val.,,,,,,išsinešti
98,622/2,2001-02-21,n,D. Jančiukienės firma „Sandaja“,3476253,,,Naujasodis,"specializuota parduotuvė, pastato 3F1b 7-10 prekybinė patalpa, Pramonės pr. 16",alkoholiniais gėrimais,7–22 val.,,,,,,išsinešti
99,447,1997-09-01,n,UAB „Boleslovas“,3477393,,,Sargėnai,"baras, Vandžiogalos g. 64",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
100,830,1998-09-16,n,V. Zubrickienės prekybos įmonė,3483433,,,Petrašiūnai,"parduotuvė, R. Kalantos g. 44","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–22 val.,,,,,,išsinešti
101,508/1,2001-02-01,n,UAB „Tigera“,3485785,,,Gričiupis,"specializuotas parduotuvės skyrius, Taikos pr. 60A",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
102,687,1998-02-25,n,Arvydo Adomavičiaus įmonė,3489298,,,Gričiupis,"kioskas, Studentų g. 10","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
103,687/1,1998-05-01,n,Arvydo Adomavičiaus įmonė,3489298,,,Dainava,"paviljonas, V. Krėvės pr., netoli prekybos centro „Saulėtekis“","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
104,687/2,2002-03-06,n,Arvydo Adomavičiaus įmonė,3489298,,,Gričiupis,kioskas prieš namą Studentų g. 8,"alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
105,1200/1,2002-04-10,n,A. Nenortienės firma „Gedsera“,3490317,,,Žemieji Šančiai,"kavinė-baras, A. Juozapavičiaus pr. 21B",alkoholiniais gėrimais,7–15 val.,,,,,,gerti ten pat ir išsinešti
106,1349,2002-01-09,n,UAB „Senekta“,3493043,,,Senamiestis,"kavinė-baras, M. Valančiaus g. 14-3",alkoholiniais gėrimais,10–24 val.,,,,,,gerti ten pat ir išsinešti
107,1180,2001-03-15,n,Rasos Šalkauskienės firma,3495194,,,Žaliakalnis,"specializuotas parduotuvės skyrius, Telšių g. 20",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
108,1198,2001-03-28,n,Sauliaus Skorkos įmonė,3496258,,,Gričiupis,kioskas prie pastato Radvilėnų pl. 21,"alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–19 val.,,,,,,išsinešti
109,134,1997-08-01,n,L. Golosovos įmonė,3496903,,,Gričiupis,"baras, Pašilės g. 6",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
110,1504,2003-04-18,n,L. Armalienės firma,3498978,,,Naujamiestis,kioskas prie namo Vytauto pr. 12,"alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–18 val.,,,,,,išsinešti
111,1559,2003-10-08,n,E. G. Rimkuvienės firma,3499204,,,Gričiupis,"biliardinė, Saulės g. 12 / A. Baranausko g. 19","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",10–24 val.,,,,,,gerti ten pat ir išsinešti
112,1470,2002-11-29,n,Giedrės Cikanavičienės individuali įmonė,3503725,,,Žaliakalnis,kioskas prie pastato Taikos pr. 4,"alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
113,1388,2002-04-24,n,UAB „Ritena“,3506428,,,Dainava,"parduotuvė, V. Krėvės pr. 64-83","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–21 val.,,,,,,išsinešti
114,1029,2000-04-26,n,UAB „Ovilija“,3507769,,,Eiguliai,"parduotuvė, S. Žukausko g. 39-1","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–22 val.,,,,,,išsinešti
